i,k,st,state_gen
1,ng1,1,1
1,ng1,2,0
1,ng1,3,1
1,ng1,4,1
1,ng1,5,1
1,ng1,6,1
1,ng1,7,0
1,ng1,8,0
1,ng1,9,0
1,ng1,10,0
1,ng1,11,1
1,ng1,12,1
1,ng1,13,1
1,ng1,14,1
1,ng1,15,1
1,ng1,16,1
1,ng1,17,0
1,ng1,18,0
1,ng1,19,0
1,ng1,20,0
1,ng1,21,0
1,ng1,22,0
1,ng1,23,1
1,ng1,24,1
1,ng1,25,1
1,ng1,26,1
1,ng1,27,0
1,ng1,28,0
1,ng1,29,0
1,ng1,30,0
1,ng1,31,1
1,ng1,32,0
1,ng2,1,1
1,ng2,2,1
1,ng2,3,0
1,ng2,4,1
1,ng2,5,1
1,ng2,6,1
1,ng2,7,0
1,ng2,8,1
1,ng2,9,1
1,ng2,10,1
1,ng2,11,0
1,ng2,12,0
1,ng2,13,0
1,ng2,14,1
1,ng2,15,1
1,ng2,16,1
1,ng2,17,0
1,ng2,18,0
1,ng2,19,0
1,ng2,20,1
1,ng2,21,1
1,ng2,22,1
1,ng2,23,0
1,ng2,24,0
1,ng2,25,0
1,ng2,26,1
1,ng2,27,0
1,ng2,28,0
1,ng2,29,0
1,ng2,30,1
1,ng2,31,0
1,ng2,32,0
1,ng3,1,1
1,ng3,2,1
1,ng3,3,1
1,ng3,4,1
1,ng3,5,1
1,ng3,6,1
1,ng3,7,1
1,ng3,8,1
1,ng3,9,1
1,ng3,10,1
1,ng3,11,1
1,ng3,12,1
1,ng3,13,1
1,ng3,14,1
1,ng3,15,1
1,ng3,16,1
1,ng3,17,1
1,ng3,18,1
1,ng3,19,1
1,ng3,20,1
1,ng3,21,1
1,ng3,22,1
1,ng3,23,1
1,ng3,24,1
1,ng3,25,1
1,ng3,26,1
1,ng3,27,1
1,ng3,28,1
1,ng3,29,1
1,ng3,30,1
1,ng3,31,1
1,ng3,32,1
2,ng1,1,1
2,ng1,2,1
2,ng1,3,1
2,ng1,4,1
2,ng1,5,1
2,ng1,6,1
2,ng1,7,1
2,ng1,8,1
2,ng1,9,1
2,ng1,10,1
2,ng1,11,1
2,ng1,12,1
2,ng1,13,1
2,ng1,14,1
2,ng1,15,1
2,ng1,16,1
2,ng1,17,1
2,ng1,18,1
2,ng1,19,1
2,ng1,20,1
2,ng1,21,1
2,ng1,22,1
2,ng1,23,1
2,ng1,24,1
2,ng1,25,1
2,ng1,26,1
2,ng1,27,1
2,ng1,28,1
2,ng1,29,1
2,ng1,30,1
2,ng1,31,1
2,ng1,32,1
2,ng2,1,1
2,ng2,2,1
2,ng2,3,1
2,ng2,4,1
2,ng2,5,1
2,ng2,6,1
2,ng2,7,1
2,ng2,8,1
2,ng2,9,1
2,ng2,10,1
2,ng2,11,1
2,ng2,12,1
2,ng2,13,1
2,ng2,14,1
2,ng2,15,1
2,ng2,16,1
2,ng2,17,1
2,ng2,18,1
2,ng2,19,1
2,ng2,20,1
2,ng2,21,1
2,ng2,22,1
2,ng2,23,1
2,ng2,24,1
2,ng2,25,1
2,ng2,26,1
2,ng2,27,1
2,ng2,28,1
2,ng2,29,1
2,ng2,30,1
2,ng2,31,1
2,ng2,32,1
2,ng3,1,1
2,ng3,2,1
2,ng3,3,1
2,ng3,4,1
2,ng3,5,1
2,ng3,6,1
2,ng3,7,1
2,ng3,8,1
2,ng3,9,1
2,ng3,10,1
2,ng3,11,1
2,ng3,12,1
2,ng3,13,1
2,ng3,14,1
2,ng3,15,1
2,ng3,16,1
2,ng3,17,1
2,ng3,18,1
2,ng3,19,1
2,ng3,20,1
2,ng3,21,1
2,ng3,22,1
2,ng3,23,1
2,ng3,24,1
2,ng3,25,1
2,ng3,26,1
2,ng3,27,1
2,ng3,28,1
2,ng3,29,1
2,ng3,30,1
2,ng3,31,1
2,ng3,32,1
3,ng1,1,1
3,ng1,2,1
3,ng1,3,1
3,ng1,4,1
3,ng1,5,1
3,ng1,6,1
3,ng1,7,1
3,ng1,8,1
3,ng1,9,1
3,ng1,10,1
3,ng1,11,1
3,ng1,12,1
3,ng1,13,1
3,ng1,14,1
3,ng1,15,1
3,ng1,16,1
3,ng1,17,1
3,ng1,18,1
3,ng1,19,1
3,ng1,20,1
3,ng1,21,1
3,ng1,22,1
3,ng1,23,1
3,ng1,24,1
3,ng1,25,1
3,ng1,26,1
3,ng1,27,1
3,ng1,28,1
3,ng1,29,1
3,ng1,30,1
3,ng1,31,1
3,ng1,32,1
3,ng2,1,1
3,ng2,2,1
3,ng2,3,1
3,ng2,4,1
3,ng2,5,1
3,ng2,6,1
3,ng2,7,1
3,ng2,8,1
3,ng2,9,1
3,ng2,10,1
3,ng2,11,1
3,ng2,12,1
3,ng2,13,1
3,ng2,14,1
3,ng2,15,1
3,ng2,16,1
3,ng2,17,1
3,ng2,18,1
3,ng2,19,1
3,ng2,20,1
3,ng2,21,1
3,ng2,22,1
3,ng2,23,1
3,ng2,24,1
3,ng2,25,1
3,ng2,26,1
3,ng2,27,1
3,ng2,28,1
3,ng2,29,1
3,ng2,30,1
3,ng2,31,1
3,ng2,32,1
3,ng3,1,1
3,ng3,2,1
3,ng3,3,1
3,ng3,4,1
3,ng3,5,1
3,ng3,6,1
3,ng3,7,1
3,ng3,8,1
3,ng3,9,1
3,ng3,10,1
3,ng3,11,1
3,ng3,12,1
3,ng3,13,1
3,ng3,14,1
3,ng3,15,1
3,ng3,16,1
3,ng3,17,1
3,ng3,18,1
3,ng3,19,1
3,ng3,20,1
3,ng3,21,1
3,ng3,22,1
3,ng3,23,1
3,ng3,24,1
3,ng3,25,1
3,ng3,26,1
3,ng3,27,1
3,ng3,28,1
3,ng3,29,1
3,ng3,30,1
3,ng3,31,1
3,ng3,32,1
4,ng1,1,1
4,ng1,2,1
4,ng1,3,1
4,ng1,4,0
4,ng1,5,1
4,ng1,6,1
4,ng1,7,1
4,ng1,8,0
4,ng1,9,1
4,ng1,10,1
4,ng1,11,0
4,ng1,12,1
4,ng1,13,1
4,ng1,14,0
4,ng1,15,0
4,ng1,16,1
4,ng1,17,0
4,ng1,18,1
4,ng1,19,1
4,ng1,20,0
4,ng1,21,0
4,ng1,22,1
4,ng1,23,0
4,ng1,24,0
4,ng1,25,1
4,ng1,26,0
4,ng1,27,0
4,ng1,28,0
4,ng1,29,1
4,ng1,30,0
4,ng1,31,0
4,ng1,32,0
4,ng2,1,1
4,ng2,2,1
4,ng2,3,1
4,ng2,4,1
4,ng2,5,0
4,ng2,6,1
4,ng2,7,1
4,ng2,8,1
4,ng2,9,0
4,ng2,10,1
4,ng2,11,1
4,ng2,12,0
4,ng2,13,1
4,ng2,14,0
4,ng2,15,1
4,ng2,16,0
4,ng2,17,1
4,ng2,18,0
4,ng2,19,1
4,ng2,20,0
4,ng2,21,1
4,ng2,22,0
4,ng2,23,0
4,ng2,24,1
4,ng2,25,0
4,ng2,26,0
4,ng2,27,0
4,ng2,28,1
4,ng2,29,0
4,ng2,30,0
4,ng2,31,0
4,ng2,32,0
4,ng3,1,1
4,ng3,2,1
4,ng3,3,1
4,ng3,4,1
4,ng3,5,1
4,ng3,6,0
4,ng3,7,1
4,ng3,8,1
4,ng3,9,1
4,ng3,10,0
4,ng3,11,1
4,ng3,12,1
4,ng3,13,0
4,ng3,14,1
4,ng3,15,0
4,ng3,16,0
4,ng3,17,1
4,ng3,18,1
4,ng3,19,0
4,ng3,20,1
4,ng3,21,0
4,ng3,22,0
4,ng3,23,1
4,ng3,24,0
4,ng3,25,0
4,ng3,26,0
4,ng3,27,1
4,ng3,28,0
4,ng3,29,0
4,ng3,30,0
4,ng3,31,0
4,ng3,32,0
