i,t,n,b,CPF
1,1,1,1,0.127
1,1,1,2,0.115
1,1,1,3,0.098
1,1,1,4,0.092
1,1,1,5,0.104
1,1,1,6,0.152
1,1,1,7,0.201
1,1,1,8,0.2
1,1,1,9,0.167
1,1,1,10,0.126
1,1,1,11,0.121
1,1,1,12,0.128
1,1,2,1,0.012
1,1,2,2,0.011
1,1,2,3,0.009
1,1,2,4,0.013
1,1,2,5,0.033
1,1,2,6,0.079
1,1,2,7,0.104
1,1,2,8,0.095
1,1,2,9,0.062
1,1,2,10,0.025
1,1,2,11,0.016
1,1,2,12,0.014
1,1,3,1,0.078
1,1,3,2,0.082
1,1,3,3,0.087
1,1,3,4,0.093
1,1,3,5,0.09
1,1,3,6,0.114
1,1,3,7,0.148
1,1,3,8,0.144
1,1,3,9,0.114
1,1,3,10,0.086
1,1,3,11,0.08
1,1,3,12,0.079
1,1,4,1,0.217
1,1,4,2,0.216
1,1,4,3,0.206
1,1,4,4,0.187
1,1,4,5,0.192
1,1,4,6,0.202
1,1,4,7,0.214
1,1,4,8,0.203
1,1,4,9,0.205
1,1,4,10,0.205
1,1,4,11,0.21
1,1,4,12,0.219
1,2,1,1,0.127
1,2,1,2,0.115
1,2,1,3,0.098
1,2,1,4,0.092
1,2,1,5,0.104
1,2,1,6,0.152
1,2,1,7,0.201
1,2,1,8,0.2
1,2,1,9,0.167
1,2,1,10,0.126
1,2,1,11,0.121
1,2,1,12,0.128
1,2,2,1,0.012
1,2,2,2,0.011
1,2,2,3,0.009
1,2,2,4,0.013
1,2,2,5,0.033
1,2,2,6,0.079
1,2,2,7,0.104
1,2,2,8,0.095
1,2,2,9,0.062
1,2,2,10,0.025
1,2,2,11,0.016
1,2,2,12,0.014
1,2,3,1,0.078
1,2,3,2,0.082
1,2,3,3,0.087
1,2,3,4,0.093
1,2,3,5,0.09
1,2,3,6,0.114
1,2,3,7,0.148
1,2,3,8,0.144
1,2,3,9,0.114
1,2,3,10,0.086
1,2,3,11,0.08
1,2,3,12,0.079
1,2,4,1,0.217
1,2,4,2,0.216
1,2,4,3,0.206
1,2,4,4,0.187
1,2,4,5,0.192
1,2,4,6,0.202
1,2,4,7,0.214
1,2,4,8,0.203
1,2,4,9,0.205
1,2,4,10,0.205
1,2,4,11,0.21
1,2,4,12,0.219
1,3,1,1,0.127
1,3,1,2,0.115
1,3,1,3,0.098
1,3,1,4,0.092
1,3,1,5,0.104
1,3,1,6,0.152
1,3,1,7,0.201
1,3,1,8,0.2
1,3,1,9,0.167
1,3,1,10,0.126
1,3,1,11,0.121
1,3,1,12,0.128
1,3,2,1,0.012
1,3,2,2,0.011
1,3,2,3,0.009
1,3,2,4,0.013
1,3,2,5,0.033
1,3,2,6,0.079
1,3,2,7,0.104
1,3,2,8,0.095
1,3,2,9,0.062
1,3,2,10,0.025
1,3,2,11,0.016
1,3,2,12,0.014
1,3,3,1,0.078
1,3,3,2,0.082
1,3,3,3,0.087
1,3,3,4,0.093
1,3,3,5,0.09
1,3,3,6,0.114
1,3,3,7,0.148
1,3,3,8,0.144
1,3,3,9,0.114
1,3,3,10,0.086
1,3,3,11,0.08
1,3,3,12,0.079
1,3,4,1,0.217
1,3,4,2,0.216
1,3,4,3,0.206
1,3,4,4,0.187
1,3,4,5,0.192
1,3,4,6,0.202
1,3,4,7,0.214
1,3,4,8,0.203
1,3,4,9,0.205
1,3,4,10,0.205
1,3,4,11,0.21
1,3,4,12,0.219
1,4,1,1,0.127
1,4,1,2,0.115
1,4,1,3,0.098
1,4,1,4,0.092
