i,t,n,b,D
1,1,1,1,495.3
1,1,1,2,491.4
1,1,1,3,545.9
1,1,1,4,561.5
1,1,1,5,489.2
1,1,1,6,437.4
1,1,1,7,438.6
1,1,1,8,518.0
1,1,1,9,635.3
1,1,1,10,681.8
1,1,1,11,608.4
1,1,1,12,534.2
1,1,2,1,579.5
1,1,2,2,565.1
1,1,2,3,599.0
1,1,2,4,633.9
1,1,2,5,602.1
1,1,2,6,610.7
1,1,2,7,658.7
1,1,2,8,739.8
1,1,2,9,811.2
1,1,2,10,813.6
1,1,2,11,729.5
1,1,2,12,634.1
1,1,3,1,538.5
1,1,3,2,524.7
1,1,3,3,576.8
1,1,3,4,619.1
1,1,3,5,573.6
1,1,3,6,549.5
1,1,3,7,597.6
1,1,3,8,698.4
1,1,3,9,775.4
1,1,3,10,741.6
1,1,3,11,659.6
1,1,3,12,580.1
1,1,4,1,537.8
1,1,4,2,517.4
1,1,4,3,551.1
1,1,4,4,616.1
1,1,4,5,557.9
1,1,4,6,505.7
1,1,4,7,517.8
1,1,4,8,600.6
1,1,4,9,730.7
1,1,4,10,724.8
1,1,4,11,666.0
1,1,4,12,578.7
1,2,1,1,525.0
1,2,1,2,521.0
1,2,1,3,578.7
1,2,1,4,595.2
1,2,1,5,518.7
1,2,1,6,463.5
1,2,1,7,464.9
1,2,1,8,549.0
1,2,1,9,673.5
1,2,1,10,722.7
1,2,1,11,644.9
1,2,1,12,566.4
1,2,2,1,614.1
1,2,2,2,599.0
1,2,2,3,635.0
1,2,2,4,671.9
1,2,2,5,638.1
1,2,2,6,647.4
1,2,2,7,698.3
1,2,2,8,784.2
1,2,2,9,859.8
1,2,2,10,862.5
1,2,2,11,773.4
1,2,2,12,672.2
1,2,3,1,570.9
1,2,3,2,556.2
1,2,3,3,611.4
1,2,3,4,656.1
1,2,3,5,608.0
1,2,3,6,582.3
1,2,3,7,633.6
1,2,3,8,740.3
1,2,3,9,822.0
1,2,3,10,786.2
1,2,3,11,699.2
1,2,3,12,614.7
1,2,4,1,570.0
1,2,4,2,548.4
1,2,4,3,584.1
1,2,4,4,653.0
1,2,4,5,591.3
1,2,4,6,536.0
1,2,4,7,548.6
1,2,4,8,636.6
1,2,4,9,774.5
1,2,4,10,768.2
1,2,4,11,705.9
1,2,4,12,613.4
1,3,1,1,556.1
1,3,1,2,551.7
1,3,1,3,612.9
1,3,1,4,630.3
1,3,1,5,549.3
1,3,1,6,491.0
1,3,1,7,492.3
1,3,1,8,581.7
1,3,1,9,713.3
1,3,1,10,765.5
1,3,1,11,683.0
1,3,1,12,599.9
1,3,2,1,650.3
1,3,2,2,634.5
1,3,2,3,672.6
1,3,2,4,711.5
1,3,2,5,675.9
1,3,2,6,685.7
1,3,2,7,739.4
1,3,2,8,830.7
1,3,2,9,910.8
1,3,2,10,913.5
1,3,2,11,819.0
1,3,2,12,711.9
1,3,3,1,604.7
1,3,3,2,589.1
1,3,3,3,647.6
1,3,3,4,695.1
1,3,3,5,644.0
1,3,3,6,616.8
1,3,3,7,671.0
1,3,3,8,784.2
1,3,3,9,870.6
1,3,3,10,832.8
1,3,3,11,740.6
1,3,3,12,651.2
1,3,4,1,603.8
1,3,4,2,580.8
1,3,4,3,618.8
1,3,4,4,691.5
1,3,4,5,626.3
1,3,4,6,567.8
1,3,4,7,581.3
1,3,4,8,674.1
1,3,4,9,820.4
1,3,4,10,813.6
1,3,4,11,747.8
1,3,4,12,649.7
1,4,1,1,588.6
1,4,1,2,584.1
1,4,1,3,648.8
1,4,1,4,667.2
1,4,1,5,581.4
1,4,1,6,519.8
1,4,1,7,521.1
1,4,1,8,615.6
1,4,1,9,755.0
1,4,1,10,810.3
1,4,1,11,723.0
1,4,1,12,635.0
1,4,2,1,688.5
1,4,2,2,671.7
1,4,2,3,711.9
1,4,2,4,753.3
1,4,2,5,715.5
1,4,2,6,725.9
1,4,2,7,782.9
1,4,2,8,879.3
1,4,2,9,963.9
1,4,2,10,966.9
1,4,2,11,867.0
1,4,2,12,753.6
1,4,3,1,639.9
1,4,3,2,623.6
1,4,3,3,685.4
1,4,3,4,735.8
1,4,3,5,681.6
1,4,3,6,653.0
1,4,3,7,710.4
1,4,3,8,830.1
1,4,3,9,921.6
1,4,3,10,881.4
1,4,3,11,783.8
1,4,3,12,689.3
1,4,4,1,639.0
1,4,4,2,614.7
1,4,4,3,655.1
1,4,4,4,732.0
1,4,4,5,662.9
1,4,4,6,600.8
1,4,4,7,615.2
1,4,4,8,713.7
1,4,4,9,868.4
1,4,4,10,861.3
1,4,4,11,791.6
1,4,4,12,687.6
1,5,1,1,622.7
1,5,1,2,617.9
1,5,1,3,686.3
1,5,1,4,705.9
1,5,1,5,615.2
1,5,1,6,549.9
1,5,1,7,551.3
1,5,1,8,651.2
1,5,1,9,798.6
1,5,1,10,857.3
1,5,1,11,764.9
1,5,1,12,671.7
1,5,2,1,728.4
1,5,2,2,710.4
1,5,2,3,753.2
1,5,2,4,796.8
1,5,2,5,756.9
1,5,2,6,767.7
1,5,2,7,828.0
1,5,2,8,930.2
1,5,2,9,1019.7
1,5,2,10,1022.9
1,5,2,11,917.1
1,5,2,12,797.3
1,5,3,1,677.1
1,5,3,2,659.7
1,5,3,3,725.3
1,5,3,4,778.4
1,5,3,5,720.9
1,5,3,6,690.8
1,5,3,7,751.4
1,5,3,8,878.3
1,5,3,9,975.0
1,5,3,10,932.4
1,5,3,11,829.2
1,5,3,12,729.3
1,5,4,1,675.9
1,5,4,2,650.3
1,5,4,3,692.9
1,5,4,4,774.5
1,5,4,5,701.1
1,5,4,6,635.7
1,5,4,7,650.7
1,5,4,8,755.0
1,5,4,9,918.5
1,5,4,10,911.1
1,5,4,11,837.3
1,5,4,12,727.5
2,1,1,1,0.0
2,1,1,2,0.0
2,1,1,3,0.0
2,1,1,4,0.0
2,1,1,5,0.0
2,1,1,6,0.0
2,1,1,7,0.0
2,1,1,8,0.0
2,1,1,9,0.0
2,1,1,10,0.0
2,1,1,11,0.0
2,1,1,12,0.0
2,1,2,1,0.0
2,1,2,2,0.0
2,1,2,3,0.0
2,1,2,4,0.0
2,1,2,5,0.0
2,1,2,6,0.0
2,1,2,7,0.0
2,1,2,8,0.0
2,1,2,9,0.0
2,1,2,10,0.0
2,1,2,11,0.0
2,1,2,12,0.0
2,1,3,1,0.0
2,1,3,2,0.0
2,1,3,3,0.0
2,1,3,4,0.0
2,1,3,5,0.0
2,1,3,6,0.0
2,1,3,7,0.0
2,1,3,8,0.0
2,1,3,9,0.0
2,1,3,10,0.0
2,1,3,11,0.0
