sc,sc_rate
0,0.00826
1,0.00826
2,0.00826
3,0.00826
4,0.00826
5,0.00826
6,0.00826
7,0.00826
8,0.00826
9,0.00826
10,0.00826
11,0.00826
12,0.00826
13,0.00826
14,0.00826
15,0.00826
16,0.00826
17,0.00826
18,0.00826
19,0.00826
20,0.00826
21,0.00826
22,0.00826
23,0.00826
24,0.00826
25,0.00826
26,0.00826
27,0.00826
28,0.00826
29,0.00826
30,0.00826
31,0.00826
32,0.00826
33,0.00826
34,0.00826
35,0.00826
36,0.00826
37,0.00826
38,0.00826
39,0.00826
40,0.00826
41,0.00826
42,0.00826
43,0.00826
44,0.00826
45,0.00826
46,0.00826
47,0.00826
48,0.00826
49,0.00826
50,0.00826
51,0.00826
52,0.00826
53,0.00826
54,0.00826
55,0.00826
56,0.00826
57,0.00826
58,0.00826
59,0.00826
60,0.00826
61,0.00826
62,0.00826
63,0.00826
64,0.00826
65,0.00826
66,0.00826
67,0.00826
68,0.00826
69,0.00826
70,0.00826
71,0.00826
72,0.00826
73,0.00826
74,0.00826
75,0.00826
76,0.00826
77,0.00826
78,0.00826
79,0.00826
80,0.00826
81,0.00826
82,0.00826
83,0.00826
84,0.00826
85,0.00826
86,0.00826
87,0.00826
88,0.00826
89,0.00826
90,0.00826
91,0.00826
92,0.00826
93,0.00826
94,0.00826
95,0.00826
96,0.00826
97,0.00826
98,0.00826
99,0.00826
100,0.00826
101,0.00826
102,0.00826
103,0.00826
104,0.00826
105,0.00826
106,0.00826
107,0.00826
108,0.00826
109,0.00826
110,0.00826
111,0.00826
112,0.00826
113,0.00826
114,0.00826
115,0.00826
116,0.00826
117,0.00826
118,0.00826
119,0.00826
120,0.00826
