i,k,st,state_backup
1,ng-p,1,1
1,ng-p,2,1
1,ng-p,3,1
1,ng-p,4,1
1,ng-p,5,1
1,ng-p,6,1
1,ng-p,7,1
1,ng-p,8,1
1,ng-p,9,1
1,ng-p,10,1
1,ng-p,11,1
1,ng-p,12,1
1,ng-p,13,1
1,ng-p,14,1
1,ng-p,15,1
1,ng-p,16,1
2,ng-p,1,1
2,ng-p,2,1
2,ng-p,3,1
2,ng-p,4,1
2,ng-p,5,1
2,ng-p,6,1
2,ng-p,7,1
2,ng-p,8,1
2,ng-p,9,1
2,ng-p,10,1
2,ng-p,11,1
2,ng-p,12,1
2,ng-p,13,1
2,ng-p,14,1
2,ng-p,15,1
2,ng-p,16,1
3,ng-p,1,1
3,ng-p,2,1
3,ng-p,3,1
3,ng-p,4,1
3,ng-p,5,1
3,ng-p,6,1
3,ng-p,7,1
3,ng-p,8,1
3,ng-p,9,1
3,ng-p,10,1
3,ng-p,11,1
3,ng-p,12,1
3,ng-p,13,1
3,ng-p,14,1
3,ng-p,15,1
3,ng-p,16,1
4,ng-p,1,1
4,ng-p,2,1
4,ng-p,3,1
4,ng-p,4,1
4,ng-p,5,1
4,ng-p,6,1
4,ng-p,7,1
4,ng-p,8,1
4,ng-p,9,1
4,ng-p,10,1
4,ng-p,11,1
4,ng-p,12,1
4,ng-p,13,1
4,ng-p,14,1
4,ng-p,15,1
4,ng-p,16,1
