i,k,t,n,sc,sc_gen
1,ng,1,1,0,1
1,ng,1,1,1,
1,ng,1,1,2,
1,ng,1,1,3,
1,ng,1,1,4,
1,ng,1,1,5,
1,ng,1,1,6,
1,ng,1,1,7,
1,ng,1,2,0,1
1,ng,1,2,1,
1,ng,1,2,2,
1,ng,1,2,3,
1,ng,1,2,4,
1,ng,1,2,5,
1,ng,1,2,6,
1,ng,1,2,7,
2,ng,1,1,0,1
2,ng,1,1,1,
2,ng,1,1,2,
2,ng,1,1,3,
2,ng,1,1,4,
2,ng,1,1,5,
2,ng,1,1,6,
2,ng,1,1,7,
2,ng,1,2,0,1
2,ng,1,2,1,
2,ng,1,2,2,
2,ng,1,2,3,
2,ng,1,2,4,
2,ng,1,2,5,
2,ng,1,2,6,
2,ng,1,2,7,
3,ng,1,1,0,
3,ng,1,1,1,
3,ng,1,1,2,
3,ng,1,1,3,
3,ng,1,1,4,
3,ng,1,1,5,
3,ng,1,1,6,
3,ng,1,1,7,
3,ng,1,2,0,
3,ng,1,2,1,
3,ng,1,2,2,
3,ng,1,2,3,
3,ng,1,2,4,
3,ng,1,2,5,
3,ng,1,2,6,
3,ng,1,2,7,
4,ng,1,1,0,1
4,ng,1,1,1,1
4,ng,1,1,2,1
4,ng,1,1,3,1
4,ng,1,1,4,1
4,ng,1,1,5,1
4,ng,1,1,6,1
4,ng,1,1,7,1
4,ng,1,2,0,1
4,ng,1,2,1,1
4,ng,1,2,2,1
4,ng,1,2,3,1
4,ng,1,2,4,1
4,ng,1,2,5,1
4,ng,1,2,6,1
4,ng,1,2,7,1
5,ng,1,1,0,1
5,ng,1,1,1,1
5,ng,1,1,2,1
5,ng,1,1,3,1
5,ng,1,1,4,1
5,ng,1,1,5,1
5,ng,1,1,6,1
5,ng,1,1,7,1
5,ng,1,2,0,1
5,ng,1,2,1,1
5,ng,1,2,2,1
5,ng,1,2,3,1
5,ng,1,2,4,1
5,ng,1,2,5,1
5,ng,1,2,6,1
5,ng,1,2,7,1
