l,t,ic_line
1,1,0.025
1,2,0.02
2,1,0.025
2,2,0.02
3,1,0.025
3,2,0.02
4,1,0.025
4,2,0.02
5,1,0.025
5,2,0.02
6,1,0.025
6,2,0.02
7,1,0.025
7,2,0.02
8,1,0.025
8,2,0.02
9,1,0.025
9,2,0.02
10,1,0.025
10,2,0.02
11,1,0.025
11,2,0.02
12,1,0.025
12,2,0.02
13,1,0.025
13,2,0.02
14,1,0.025
14,2,0.02
15,1,0.025
15,2,0.02
16,1,0.025
16,2,0.02
17,1,0.025
17,2,0.02
18,1,0.025
18,2,0.02
19,1,0.025
19,2,0.02
20,1,0.025
20,2,0.02
21,1,0.025
21,2,0.02
22,1,0.025
22,2,0.02
23,1,0.025
23,2,0.02
24,1,0.025
24,2,0.02
25,1,0.025
25,2,0.02
26,1,0.025
26,2,0.02
27,1,0.025
27,2,0.02
28,1,0.025
28,2,0.02
29,1,0.025
29,2,0.02
30,1,0.025
30,2,0.02
31,1,0.025
31,2,0.02
32,1,0.025
32,2,0.02
33,1,0.025
33,2,0.02
34,1,0.025
34,2,0.02
35,1,0.025
35,2,0.02
36,1,0.025
36,2,0.02
37,1,0.025
37,2,0.02
38,1,0.025
38,2,0.02
39,1,0.025
39,2,0.02
40,1,0.025
40,2,0.02
41,1,0.025
41,2,0.02
42,1,0.025
42,2,0.02
43,1,0.025
43,2,0.02
44,1,0.025
44,2,0.02
45,1,0.025
45,2,0.02
46,1,0.025
46,2,0.02
47,1,0.025
47,2,0.02
48,1,0.025
48,2,0.02
49,1,0.025
49,2,0.02
50,1,0.025
50,2,0.02
51,1,0.025
51,2,0.02
52,1,0.025
52,2,0.02
53,1,0.025
53,2,0.02
54,1,0.025
54,2,0.02
55,1,0.025
55,2,0.02
56,1,0.025
56,2,0.02
57,1,0.025
57,2,0.02
58,1,0.025
58,2,0.02
59,1,0.025
59,2,0.02
60,1,0.025
60,2,0.02
61,1,0.025
61,2,0.02
62,1,0.025
62,2,0.02
63,1,0.025
63,2,0.02
64,1,0.025
64,2,0.02
65,1,0.025
65,2,0.02
66,1,0.025
66,2,0.02
67,1,0.025
67,2,0.02
68,1,0.025
68,2,0.02
69,1,0.025
69,2,0.02
70,1,0.025
70,2,0.02
71,1,0.025
71,2,0.02
72,1,0.025
72,2,0.02
73,1,0.025
73,2,0.02
74,1,0.025
74,2,0.02
75,1,0.025
75,2,0.02
76,1,0.025
76,2,0.02
77,1,0.025
77,2,0.02
78,1,0.025
78,2,0.02
79,1,0.025
79,2,0.02
80,1,0.025
80,2,0.02
81,1,0.025
81,2,0.02
82,1,0.025
82,2,0.02
83,1,0.025
